"","Langs","speakers","State","year"
"1","Population",4497352," Alabama","2013"
"2","Only English",4261611," Alabama","2013"
"5","Spanish",151385," Alabama","2013"
"8","French",7195," Alabama","2013"
"9","Patois",140," Alabama","2013"
"10","Cajun",40," Alabama","2013"
"11","French Creole",333," Alabama","2013"
"12","Italian",1672," Alabama","2013"
"14","Portuguese",1375," Alabama","2013"
"16","German",10040," Alabama","2013"
"17","Yiddish",18," Alabama","2013"
"19","Dutch",725," Alabama","2013"
"20","Afrikaans",170," Alabama","2013"
"22","Swedish",125," Alabama","2013"
"23","Danish",45," Alabama","2013"
"24","Norwegian",90," Alabama","2013"
"25","Icelandic",25," Alabama","2013"
"26","Greek",918," Alabama","2013"
"27","Russian",1325," Alabama","2013"
"28","Polish",384," Alabama","2013"
"30","Serbocroatian",170," Alabama","2013"
"31","Croatian",195," Alabama","2013"
"32","Serbian",100," Alabama","2013"
"34","Ukrainian",55," Alabama","2013"
"35","Czech",310," Alabama","2013"
"36","Bulgarian",95," Alabama","2013"
"37","Macedonian",95," Alabama","2013"
"38","Armenian",50," Alabama","2013"
"39","Persian",1010," Alabama","2013"
"40","Hindi",3236," Alabama","2013"
"41","Gujarati",2630," Alabama","2013"
"42","Urdu",1306," Alabama","2013"
"44","India nec3",860," Alabama","2013"
"45","Bengali",895," Alabama","2013"
"46","Panjabi",435," Alabama","2013"
"47","Marathi",190," Alabama","2013"
"48","Kashmiri",115," Alabama","2013"
"49","Nepali",555," Alabama","2013"
"50","Sinhalese",120," Alabama","2013"
"52","Jamaican Creole",65," Alabama","2013"
"53","Romanian",460," Alabama","2013"
"54","Irish Gaelic",90," Alabama","2013"
"55","Albanian",95," Alabama","2013"
"56","Latvian",80," Alabama","2013"
"57","Pashto",45," Alabama","2013"
"60","Chinese",7405," Alabama","2013"
"61","Cantonese",195," Alabama","2013"
"62","Mandarin",1625," Alabama","2013"
"63","Formosan",235," Alabama","2013"
"64","Japanese",1814," Alabama","2013"
"65","Korean",7475," Alabama","2013"
"66","Mon-Khmer, Cambodian",887," Alabama","2013"
"67","Hmong",208," Alabama","2013"
"68","Thai",828," Alabama","2013"
"69","Laotian",935," Alabama","2013"
"70","Vietnamese",6839," Alabama","2013"
"72","Turkish",790," Alabama","2013"
"73","Telugu",1130," Alabama","2013"
"74","Kannada",185," Alabama","2013"
"75","Malayalam",365," Alabama","2013"
"76","Tamil",665," Alabama","2013"
"77","Burmese",220," Alabama","2013"
"78","Mien",55," Alabama","2013"
"79","Tagalog",3115," Alabama","2013"
"81","Indonesian",425," Alabama","2013"
"82","Bisayan",265," Alabama","2013"
"83","Pangasinan",50," Alabama","2013"
"84","Chamorro",70," Alabama","2013"
"85","Marshallese",100," Alabama","2013"
"86","Trukese",15," Alabama","2013"
"87","Samoan",195," Alabama","2013"
"88","Hawaiian",115," Alabama","2013"
"90","Navajo",96," Alabama","2013"
"92","Algonquian",20," Alabama","2013"
"93","Kiowa",65," Alabama","2013"
"94","Choctaw",90," Alabama","2013"
"95","Koasati",25," Alabama","2013"
"96","Cherokee",255," Alabama","2013"
"97","American Indian",70," Alabama","2013"
"98","Hungarian",145," Alabama","2013"
"99","Arabic",4560," Alabama","2013"
"100","Hebrew",410," Alabama","2013"
"102","Amharic",230," Alabama","2013"
"103","Cushite",20," Alabama","2013"
"104","Swahili",1320," Alabama","2013"
"105","Bantu",240," Alabama","2013"
"106","Mande",140," Alabama","2013"
"107","Fulani",120," Alabama","2013"
"108","Kru, Ibo, Yoruba",1210," Alabama","2013"
"109","Efik",30," Alabama","2013"
"111","Finnish",95," Alabama","2013"
"112","Estonian",40," Alabama","2013"
"114","Oto - Manguen",205," Alabama","2013"
"115","Uncodable",80," Alabama","2013"
"13","Population",665954," Alaska","2013"
"210","Only English",557877," Alaska","2013"
"510","Spanish",22425," Alaska","2013"
"810","French",2165," Alaska","2013"
"910","French Creole",120," Alaska","2013"
"1010","Italian",444," Alaska","2013"
"121","Portuguese",270," Alaska","2013"
"141","German",3660," Alaska","2013"
"161","Dutch",205," Alaska","2013"
"171","Afrikaans",45," Alaska","2013"
"191","Swedish",200," Alaska","2013"
"201","Danish",150," Alaska","2013"
"21","Norwegian",365," Alaska","2013"
"221","Greek",140," Alaska","2013"
"231","Russian",4426," Alaska","2013"
"241","Polish",426," Alaska","2013"
"271","Ukrainian",610," Alaska","2013"
"281","Czech",30," Alaska","2013"
"29","Bulgarian",30," Alaska","2013"
"301","Macedonian",215," Alaska","2013"
"311","Armenian",3," Alaska","2013"
"321","Persian",100," Alaska","2013"
"33","Hindi",290," Alaska","2013"
"341","Gujarati",123," Alaska","2013"
"351","Urdu",272," Alaska","2013"
"371","Bengali",110," Alaska","2013"
"381","Panjabi",40," Alaska","2013"
"391","Nepali",300," Alaska","2013"
"401","Sinhalese",25," Alaska","2013"
"421","Jamaican Creole",45," Alaska","2013"
"43","Pidgin",115," Alaska","2013"
"441","Romanian",85," Alaska","2013"
"451","Irish Gaelic",100," Alaska","2013"
"461","Albanian",135," Alaska","2013"
"471","Lithuanian",30," Alaska","2013"
"481","Latvian",50," Alaska","2013"
"51","Chinese",1410," Alaska","2013"
"521","Cantonese",80," Alaska","2013"
"531","Mandarin",135," Alaska","2013"
"541","Japanese",1752," Alaska","2013"
"551","Korean",3937," Alaska","2013"
"561","Mon-Khmer, Cambodian",205," Alaska","2013"
"571","Hmong",3107," Alaska","2013"
"58","Thai",1105," Alaska","2013"
"59","Laotian",1469," Alaska","2013"
"601","Vietnamese",1286," Alaska","2013"
"621","Turkish",125," Alaska","2013"
"631","Telugu",60," Alaska","2013"
"641","Malayalam",30," Alaska","2013"
"651","Tamil",35," Alaska","2013"
"661","Mien",380," Alaska","2013"
"671","Tagalog",14177," Alaska","2013"
"691","Indonesian",65," Alaska","2013"
"701","Malay",55," Alaska","2013"
"71","Bisayan",390," Alaska","2013"
"721","Sebuano",50," Alaska","2013"
"731","Ilocano",980," Alaska","2013"
"741","Bikol",4," Alaska","2013"
"751","Pampangan",215," Alaska","2013"
"761","Micronesian",60," Alaska","2013"
"771","Chamorro",180," Alaska","2013"
"781","Marshallese",10," Alaska","2013"
"791","Palau",135," Alaska","2013"
"80","Trukese",75," Alaska","2013"
"811","Samoan",3555," Alaska","2013"
"821","Tongan",380," Alaska","2013"
"831","Hawaiian",235," Alaska","2013"
"851","Navajo",133," Alaska","2013"
"871","Aleut",620," Alaska","2013"
"881","Pacific Gulf Yupik",70," Alaska","2013"
"89","Eskimo",1160," Alaska","2013"
"901","Inupik",6255," Alaska","2013"
"91","St Lawrence Island Yupik",1030," Alaska","2013"
"921","Yupik",19360," Alaska","2013"
"931","Haida",110," Alaska","2013"
"941","Athapascan",1175," Alaska","2013"
"951","Ahtena",20," Alaska","2013"
"961","Ingalit",4," Alaska","2013"
"971","Koyukon",65," Alaska","2013"
"981","Kuchin",450," Alaska","2013"
"991","Tanaina",60," Alaska","2013"
"1001","Tlingit",1035," Alaska","2013"
"101","Tsimshian",40," Alaska","2013"
"1021","Yuma",15," Alaska","2013"
"1031","Dakota",25," Alaska","2013"
"1041","Cherokee",50," Alaska","2013"
"1051","Hungarian",90," Alaska","2013"
"1061","Arabic",388," Alaska","2013"
"1071","Hebrew",241," Alaska","2013"
"1091","Amharic",180," Alaska","2013"
"110","Cushite",370," Alaska","2013"
"1111","Sudanic",30," Alaska","2013"
"1121","Nilotic",155," Alaska","2013"
"113","Swahili",85," Alaska","2013"
"1141","Fulani",310," Alaska","2013"
"1151","Kru, Ibo, Yoruba",260," Alaska","2013"
"117","Finnish",170," Alaska","2013"
"119","Uncodable",75," Alaska","2013"
"18","Population",6033147," Arizona","2013"
"211","Only English",4416957," Arizona","2013"
"511","Spanish",1230730," Arizona","2013"
"812","French",16480," Arizona","2013"
"911","Patois",30," Arizona","2013"
"1011","French Creole",756," Arizona","2013"
"1110","Italian",7901," Arizona","2013"
"1310","Portuguese",4400," Arizona","2013"
"15","German",23020," Arizona","2013"
"165","Luxembourgian",40," Arizona","2013"
"172","Yiddish",445," Arizona","2013"
"192","Pennsylvania Dutch",45," Arizona","2013"
"202","Dutch",2145," Arizona","2013"
"212","Afrikaans",535," Arizona","2013"
"232","Swedish",1220," Arizona","2013"
"242","Danish",445," Arizona","2013"
"251","Norwegian",865," Arizona","2013"
"261","Icelandic",30," Arizona","2013"
"272","Greek",3043," Arizona","2013"
"282","Russian",6602," Arizona","2013"
"291","Polish",5844," Arizona","2013"
"312","Serbocroatian",4960," Arizona","2013"
"322","Croatian",810," Arizona","2013"
"331","Serbian",2600," Arizona","2013"
"352","Ukrainian",1375," Arizona","2013"
"361","Czech",905," Arizona","2013"
"372","Slovak",520," Arizona","2013"
"382","Bulgarian",1110," Arizona","2013"
"392","Macedonian",115," Arizona","2013"
"402","Slovene",110," Arizona","2013"
"411","Armenian",1385," Arizona","2013"
"422","Persian",6111," Arizona","2013"
"431","Hindi",8474," Arizona","2013"
"442","Gujarati",3824," Arizona","2013"
"452","Urdu",2380," Arizona","2013"
"472","India nec3",455," Arizona","2013"
"482","Bengali",2185," Arizona","2013"
"491","Panjabi",2285," Arizona","2013"
"501","Marathi",1000," Arizona","2013"
"512","Bihari",45," Arizona","2013"
"522","Oriya",75," Arizona","2013"
"532","Assamese",70," Arizona","2013"
"542","Nepali",1085," Arizona","2013"
"552","Sinhalese",125," Arizona","2013"
"572","Jamaican Creole",190," Arizona","2013"
"581","Krio",40," Arizona","2013"
"591","Romanian",4210," Arizona","2013"
"602","Irish Gaelic",495," Arizona","2013"
"611","Albanian",1000," Arizona","2013"
"622","Lithuanian",400," Arizona","2013"
"632","Latvian",115," Arizona","2013"
"642","Pashto",325," Arizona","2013"
"652","Kurdish",495," Arizona","2013"
"681","Chinese",19765," Arizona","2013"
"692","Cantonese",3045," Arizona","2013"
"702","Mandarin",5135," Arizona","2013"
"711","Formosan",595," Arizona","2013"
"722","Japanese",6237," Arizona","2013"
"732","Korean",10733," Arizona","2013"
"742","Mon-Khmer, Cambodian",2055," Arizona","2013"
"752","Hmong",234," Arizona","2013"
"762","Thai",2492," Arizona","2013"
"772","Laotian",1397," Arizona","2013"
"782","Vietnamese",20608," Arizona","2013"
"801","Kazakh",160," Arizona","2013"
"813","Kirghiz",25," Arizona","2013"
"822","Uighur",175," Arizona","2013"
"832","Turkish",1030," Arizona","2013"
"841","Mongolian",60," Arizona","2013"
"852","Telugu",4725," Arizona","2013"
"861","Kannada",560," Arizona","2013"
"872","Malayalam",1465," Arizona","2013"
"882","Tamil",3205," Arizona","2013"
"891","Tibetan",85," Arizona","2013"
"902","Burmese",665," Arizona","2013"
"912","Karen",1290," Arizona","2013"
"922","Tagalog",20664," Arizona","2013"
"942","Indonesian",965," Arizona","2013"
"952","Malay",250," Arizona","2013"
"962","Bisayan",435," Arizona","2013"
"972","Sebuano",400," Arizona","2013"
"982","Ilocano",530," Arizona","2013"
"992","Pampangan",85," Arizona","2013"
"1002","Carolinian",185," Arizona","2013"
"1012","Chamorro",605," Arizona","2013"
"1022","Marshallese",685," Arizona","2013"
"1032","Palau",155," Arizona","2013"
"1042","Trukese",75," Arizona","2013"
"1052","Melanesian",125," Arizona","2013"
"1062","Samoan",1220," Arizona","2013"
"1072","Tongan",790," Arizona","2013"
"1081","Fijian",30," Arizona","2013"
"1092","Hawaiian",440," Arizona","2013"
"1112","Navajo",83792," Arizona","2013"
"1131","Aleut",40," Arizona","2013"
"1142","Cheyenne",35," Arizona","2013"
"1152","Ojibwa",25," Arizona","2013"
"116","Ottawa",20," Arizona","2013"
"1171","Athapascan",20," Arizona","2013"
"118","Apache",10700," Arizona","2013"
"1191","Cocomaricopa",30," Arizona","2013"
"120","Mohave",90," Arizona","2013"
"1211","Yuma",30," Arizona","2013"
"122","Delta River Yuman",325," Arizona","2013"
"123","Havasupai",50," Arizona","2013"
"124","Walapai",250," Arizona","2013"
"125","Yavapai",210," Arizona","2013"
"126","Dakota",300," Arizona","2013"
"127","Omaha",45," Arizona","2013"
"128","Choctaw",45," Arizona","2013"
"129","Keres",155," Arizona","2013"
"130","Cherokee",150," Arizona","2013"
"131","Paiute",40," Arizona","2013"
"132","Hopi",5660," Arizona","2013"
"133","Pima",6695," Arizona","2013"
"134","Yaqui",585," Arizona","2013"
"135","Tewa",155," Arizona","2013"
"136","Zuni",160," Arizona","2013"
"137","American Indian",515," Arizona","2013"
"138","San Carlos",275," Arizona","2013"
"139","Hungarian",1499," Arizona","2013"
"140","Arabic",16865," Arizona","2013"
"1411","Hebrew",2705," Arizona","2013"
"143","Amharic",2180," Arizona","2013"
"144","Berber",35," Arizona","2013"
"145","Chadic",100," Arizona","2013"
"146","Cushite",2285," Arizona","2013"
"147","Sudanic",425," Arizona","2013"
"148","Nilotic",125," Arizona","2013"
"149","Swahili",1570," Arizona","2013"
"150","Bantu",1290," Arizona","2013"
"151","Mande",385," Arizona","2013"
"152","Fulani",250," Arizona","2013"
"153","Kru, Ibo, Yoruba",2500," Arizona","2013"
"154","Efik",135," Arizona","2013"
"155","African",225," Arizona","2013"
"157","Finnish",490," Arizona","2013"
"158","Caucasian",55," Arizona","2013"
"159","Syriac",4215," Arizona","2013"
"160","Aztecan",25," Arizona","2013"
"162","Oto - Manguen",135," Arizona","2013"
"163","Chibchan",60," Arizona","2013"
"164","Uncodable",205," Arizona","2013"
"142","Population",2738012," Arkansas","2013"
"213","Only English",2540974," Arkansas","2013"
"513","Spanish",143540," Arkansas","2013"
"814","French",4260," Arkansas","2013"
"913","Cajun",60," Arkansas","2013"
"1013","French Creole",93," Arkansas","2013"
"1113","Italian",963," Arkansas","2013"
"1311","Portuguese",1050," Arkansas","2013"
"156","German",5475," Arkansas","2013"
"173","Pennsylvania Dutch",560," Arkansas","2013"
"181","Dutch",890," Arkansas","2013"
"193","Afrikaans",135," Arkansas","2013"
"214","Swedish",130," Arkansas","2013"
"222","Norwegian",60," Arkansas","2013"
"233","Greek",144," Arkansas","2013"
"243","Russian",515," Arkansas","2013"
"252","Polish",315," Arkansas","2013"
"273","Serbian",200," Arkansas","2013"
"292","Ukrainian",70," Arkansas","2013"
"302","Czech",185," Arkansas","2013"
"313","Bulgarian",305," Arkansas","2013"
"323","Armenian",100," Arkansas","2013"
"332","Persian",519," Arkansas","2013"
"342","Hindi",1413," Arkansas","2013"
"353","Gujarati",917," Arkansas","2013"
"362","Urdu",628," Arkansas","2013"
"383","India nec3",675," Arkansas","2013"
"393","Bengali",230," Arkansas","2013"
"403","Panjabi",180," Arkansas","2013"
"412","Marathi",435," Arkansas","2013"
"423","Nepali",320," Arkansas","2013"
"432","Sindhi",55," Arkansas","2013"
"443","Sinhalese",160," Arkansas","2013"
"462","Romanian",345," Arkansas","2013"
"473","Irish Gaelic",65," Arkansas","2013"
"483","Albanian",45," Arkansas","2013"
"492","Lithuanian",35," Arkansas","2013"
"523","Chinese",3320," Arkansas","2013"
"533","Cantonese",155," Arkansas","2013"
"543","Mandarin",560," Arkansas","2013"
"553","Formosan",85," Arkansas","2013"
"562","Japanese",942," Arkansas","2013"
"573","Korean",1591," Arkansas","2013"
"582","Mon-Khmer, Cambodian",273," Arkansas","2013"
"592","Hmong",1584," Arkansas","2013"
"603","Thai",438," Arkansas","2013"
"612","Laotian",3429," Arkansas","2013"
"623","Vietnamese",4589," Arkansas","2013"
"643","Uighur",170," Arkansas","2013"
"653","Turkish",315," Arkansas","2013"
"662","Telugu",905," Arkansas","2013"
"672","Kannada",220," Arkansas","2013"
"682","Malayalam",135," Arkansas","2013"
"693","Tamil",550," Arkansas","2013"
"703","Tagalog",2901," Arkansas","2013"
"723","Indonesian",370," Arkansas","2013"
"733","Bisayan",110," Arkansas","2013"
"743","Ilocano",55," Arkansas","2013"
"753","Marshallese",3845," Arkansas","2013"
"763","Melanesian",70," Arkansas","2013"
"773","Hawaiian",65," Arkansas","2013"
"792","Navajo",20," Arkansas","2013"
"815","Algonquian",40," Arkansas","2013"
"823","Ojibwa",305," Arkansas","2013"
"833","Choctaw",105," Arkansas","2013"
"842","Cherokee",240," Arkansas","2013"
"853","American Indian",80," Arkansas","2013"
"862","Hungarian",94," Arkansas","2013"
"873","Arabic",2704," Arkansas","2013"
"883","Hebrew",25," Arkansas","2013"
"903","Amharic",75," Arkansas","2013"
"914","Berber",45," Arkansas","2013"
"923","Swahili",215," Arkansas","2013"
"932","Bantu",165," Arkansas","2013"
"943","Kru, Ibo, Yoruba",260," Arkansas","2013"
"963","Basque",180," Arkansas","2013"
"973","Syriac",125," Arkansas","2013"
"983","Uncodable",135," Arkansas","2013"
"1100","Population",35131429," California","2013"
"217","Only English",19782598," California","2013"
"514","Spanish",10105385," California","2013"
"6","Ladino",40," California","2013"
"915","French",124980," California","2013"
"1014","Patois",985," California","2013"
"1114","Cajun",120," California","2013"
"1210","French Creole",6718," California","2013"
"1312","Italian",62621," California","2013"
"1510","Portuguese",79550," California","2013"
"1710","German",110545," California","2013"
"1810","Luxembourgian",30," California","2013"
"1910","Yiddish",3272," California","2013"
"2110","Pennsylvania Dutch",25," California","2013"
"223","Dutch",22335," California","2013"
"234","Afrikaans",3075," California","2013"
"244","Frisian",225," California","2013"
"262","Swedish",11690," California","2013"
"274","Danish",6275," California","2013"
"283","Norwegian",4915," California","2013"
"293","Icelandic",980," California","2013"
"303","Greek",22932," California","2013"
"314","Russian",151685," California","2013"
"324","Polish",19699," California","2013"
"343","Serbocroatian",7285," California","2013"
"354","Croatian",7995," California","2013"
"363","Serbian",7470," California","2013"
"384","Bielorussian",255," California","2013"
"394","Ukrainian",17635," California","2013"
"404","Czech",5490," California","2013"
"413","Slovak",1790," California","2013"
"424","Bulgarian",7755," California","2013"
"433","Macedonian",655," California","2013"
"444","Slovene",360," California","2013"
"453","Armenian",191928," California","2013"
"463","Persian",191138," California","2013"
"474","Hindi",149301," California","2013"
"484","Gujarati",44917," California","2013"
"493","Urdu",45609," California","2013"
"515","India nec3",7915," California","2013"
"524","Bengali",22790," California","2013"
"534","Panjabi",118870," California","2013"
"544","Marathi",15450," California","2013"
"554","Rajasthani",45," California","2013"
"563","Oriya",680," California","2013"
"574","Assamese",190," California","2013"
"583","Kashmiri",445," California","2013"
"593","Nepali",7165," California","2013"
"604","Sindhi",1505," California","2013"
"613","Pakistan nec3",1570," California","2013"
"624","Sinhalese",7290," California","2013"
"633","Romany",255," California","2013"
"654","Jamaican Creole",1220," California","2013"
"663","Krio",680," California","2013"
"673","Pidgin",305," California","2013"
"683","Catalonian",345," California","2013"
"694","Romanian",25075," California","2013"
"704","Welsh",170," California","2013"
"712","Irish Gaelic",2575," California","2013"
"724","Scottic Gaelic",115," California","2013"
"734","Albanian",2185," California","2013"
"744","Lithuanian",3090," California","2013"
"754","Latvian",1740," California","2013"
"764","Pashto",6785," California","2013"
"774","Kurdish",2325," California","2013"
"783","Balochi",110," California","2013"
"816","Chinese",574075," California","2013"
"824","Hakka",285," California","2013"
"834","Cantonese",234775," California","2013"
"843","Mandarin",213840," California","2013"
"854","Fuchow",95," California","2013"
"863","Formosan",34350," California","2013"
"874","Wu",815," California","2013"
"884","Japanese",140575," California","2013"
"892","Korean",372742," California","2013"
"904","Mon-Khmer, Cambodian",79882," California","2013"
"916","Hmong",76789," California","2013"
"924","Thai",46434," California","2013"
"933","Laotian",36849," California","2013"
"944","Vietnamese",521534," California","2013"
"964","Kazakh",300," California","2013"
"974","Kirghiz",150," California","2013"
"984","Karachay",15," California","2013"
"993","Uighur",1230," California","2013"
"1003","Azerbaijani",280," California","2013"
"1015","Turkish",13370," California","2013"
"1023","Mongolian",2895," California","2013"
"1033","Dravidian",310," California","2013"
"1043","Gondi",160," California","2013"
"1053","Telugu",39870," California","2013"
"1063","Kannada",10530," California","2013"
"1073","Malayalam",11955," California","2013"
"1082","Tamil",39655," California","2013"
"1093","Munda",205," California","2013"
"1101","Tibetan",1850," California","2013"
"1115","Burmese",16590," California","2013"
"1122","Karen",1160," California","2013"
"1132","Kachin",20," California","2013"
"1143","Mien",15355," California","2013"
"1153","Tagalog",764743," California","2013"
"1172","Indonesian",27585," California","2013"
"1181","Cham",280," California","2013"
"1192","Javanese",165," California","2013"
"1201","Malay",2415," California","2013"
"1212","Bisayan",11150," California","2013"
"1221","Sebuano",4310," California","2013"
"1231","Pangasinan",1520," California","2013"
"1241","Ilocano",19495," California","2013"
"1251","Bikol",255," California","2013"
"1261","Pampangan",2915," California","2013"
"1271","Micronesian",105," California","2013"
"1281","Chamorro",5860," California","2013"
"1291","Gilbertese",100," California","2013"
"1301","Kusaiean",105," California","2013"
"1313","Marshallese",950," California","2013"
"1321","Palau",630," California","2013"
"1331","Ponapean",220," California","2013"
"1341","Trukese",135," California","2013"
"1351","Melanesian",130," California","2013"
"1361","Polynesian",200," California","2013"
"1371","Samoan",21230," California","2013"
"1381","Tongan",15150," California","2013"
"1391","Fijian",4350," California","2013"
"1401","Maori",80," California","2013"
"1412","Hawaiian",1705," California","2013"
"1431","Navajo",1401," California","2013"
"1451","Aleut",35," California","2013"
"1461","Eskimo",20," California","2013"
"1471","Inupik",65," California","2013"
"1481","Algonquian",40," California","2013"
"1491","Cheyenne",65," California","2013"
"1501","Cree",95," California","2013"
"1511","Ojibwa",130," California","2013"
"1521","Ottawa",35," California","2013"
"1531","Yurok",345," California","2013"
"1541","Salish",15," California","2013"
"1551","Kuchin",40," California","2013"
"1561","Hupa",65," California","2013"
"1571","Other Athapascan-Eyak",25," California","2013"
"1581","Apache",160," California","2013"
"1591","Mountain Maidu",195," California","2013"
"1601","Sierra Miwok",155," California","2013"
"1611","Patwin",4," California","2013"
"1621","Wintun",95," California","2013"
"1631","Foothill North Yokuts",60," California","2013"
"1641","Karok",330," California","2013"
"1651","Pomo",270," California","2013"
"166","Washo",65," California","2013"
"167","Mohave",50," California","2013"
"168","Yuma",110," California","2013"
"169","Diegueno",170," California","2013"
"170","Tonkawa",15," California","2013"
"1711","Dakota",385," California","2013"
"1721","Ponca",85," California","2013"
"1731","Choctaw",135," California","2013"
"174","Muskogee",80," California","2013"
"175","Keres",180," California","2013"
"176","Iroquois",75," California","2013"
"177","Seneca",30," California","2013"
"178","Cherokee",560," California","2013"
"179","Comanche",65," California","2013"
"180","Mono",60," California","2013"
"1811","Paiute",170," California","2013"
"182","Shoshoni",45," California","2013"
"183","Hopi",205," California","2013"
"184","Cahuilla",60," California","2013"
"185","Cupeno",10," California","2013"
"186","Luiseno",75," California","2013"
"187","Pima",85," California","2013"
"188","Picuris",155," California","2013"
"189","American Indian",425," California","2013"
"190","Hungarian",13236," California","2013"
"1911","Arabic",153635," California","2013"
"1921","Hebrew",41311," California","2013"
"194","Amharic",27440," California","2013"
"195","Berber",560," California","2013"
"196","Chadic",215," California","2013"
"197","Cushite",7290," California","2013"
"198","Sudanic",325," California","2013"
"199","Nilotic",380," California","2013"
"200","Saharan",80," California","2013"
"2011","Swahili",6535," California","2013"
"2021","Bantu",5085," California","2013"
"203","Mande",415," California","2013"
"204","Fulani",705," California","2013"
"205","Gur",230," California","2013"
"206","Kru, Ibo, Yoruba",20650," California","2013"
"207","Efik",460," California","2013"
"208","African",975," California","2013"
"2101","Finnish",3545," California","2013"
"2111","Estonian",700," California","2013"
"2121","Caucasian",705," California","2013"
"2131","Basque",695," California","2013"
"2141","Syriac",27725," California","2013"
"215","Aztecan",195," California","2013"
"216","Misumalpan",35," California","2013"
"218","Oto - Manguen",2505," California","2013"
"219","Quechua",230," California","2013"
"220","Arawakian",575," California","2013"
"2211","Tupi-Guarani",40," California","2013"
"2221","Uncodable",255," California","2013"
"1102","Population",4779527," Colorado","2013"
"224","Only English",3976875," Colorado","2013"
"516","Spanish",565060," Colorado","2013"
"817","French",16045," Colorado","2013"
"917","Patois",165," Colorado","2013"
"1016","French Creole",382," Colorado","2013"
"1116","Italian",5767," Colorado","2013"
"1314","Portuguese",3360," Colorado","2013"
"1512","German",25645," Colorado","2013"
"1610","Yiddish",135," Colorado","2013"
"1812","Pennsylvania Dutch",330," Colorado","2013"
"1912","Dutch",2065," Colorado","2013"
"209","Afrikaans",880," Colorado","2013"
"225","Swedish",1600," Colorado","2013"
"235","Danish",480," Colorado","2013"
"245","Norwegian",740," Colorado","2013"
"253","Icelandic",60," Colorado","2013"
"263","Greek",1910," Colorado","2013"
"275","Russian",15124," Colorado","2013"
"284","Polish",5365," Colorado","2013"
"304","Serbocroatian",1680," Colorado","2013"
"315","Croatian",395," Colorado","2013"
"325","Serbian",455," Colorado","2013"
"344","Bielorussian",25," Colorado","2013"
"355","Ukrainian",1280," Colorado","2013"
"364","Czech",880," Colorado","2013"
"373","Slovak",540," Colorado","2013"
"385","Bulgarian",1185," Colorado","2013"
"395","Macedonian",35," Colorado","2013"
"405","Slovene",160," Colorado","2013"
"414","Armenian",583," Colorado","2013"
"425","Persian",4090," Colorado","2013"
"434","Hindi",4171," Colorado","2013"
"445","Gujarati",762," Colorado","2013"
"454","Urdu",1613," Colorado","2013"
"475","India nec3",500," Colorado","2013"
"485","Bengali",1350," Colorado","2013"
"494","Panjabi",1105," Colorado","2013"
"502","Marathi",730," Colorado","2013"
"517","Rajasthani",85," Colorado","2013"
"525","Oriya",55," Colorado","2013"
"535","Nepali",3615," Colorado","2013"
"545","Sindhi",250," Colorado","2013"
"555","Pakistan nec3",95," Colorado","2013"
"564","Sinhalese",55," Colorado","2013"
"584","Jamaican Creole",600," Colorado","2013"
"594","Krio",115," Colorado","2013"
"605","Pidgin",55," Colorado","2013"
"614","Catalonian",180," Colorado","2013"
"625","Romanian",1455," Colorado","2013"
"634","Welsh",70," Colorado","2013"
"644","Irish Gaelic",330," Colorado","2013"
"655","Scottic Gaelic",90," Colorado","2013"
"664","Albanian",175," Colorado","2013"
"674","Lithuanian",610," Colorado","2013"
"684","Latvian",125," Colorado","2013"
"695","Pashto",430," Colorado","2013"
"705","Kurdish",295," Colorado","2013"
"735","Chinese",14380," Colorado","2013"
"745","Cantonese",1940," Colorado","2013"
"755","Mandarin",2230," Colorado","2013"
"765","Formosan",465," Colorado","2013"
"775","Japanese",6071," Colorado","2013"
"784","Korean",15629," Colorado","2013"
"793","Mon-Khmer, Cambodian",2210," Colorado","2013"
"802","Hmong",3008," Colorado","2013"
"818","Thai",1950," Colorado","2013"
"825","Laotian",2175," Colorado","2013"
"835","Vietnamese",20099," Colorado","2013"
"855","Kazakh",30," Colorado","2013"
"864","Uighur",80," Colorado","2013"
"875","Turkish",1180," Colorado","2013"
"885","Mongolian",715," Colorado","2013"
"893","Telugu",2405," Colorado","2013"
"905","Kannada",380," Colorado","2013"
"918","Malayalam",925," Colorado","2013"
"925","Tamil",1920," Colorado","2013"
"934","Tibetan",430," Colorado","2013"
"945","Burmese",775," Colorado","2013"
"953","Karen",745," Colorado","2013"
"965","Tagalog",7293," Colorado","2013"
"985","Indonesian",1390," Colorado","2013"
"994","Malay",255," Colorado","2013"
"1004","Bisayan",140," Colorado","2013"
"1017","Sebuano",150," Colorado","2013"
"1024","Ilocano",225," Colorado","2013"
"1034","Pampangan",140," Colorado","2013"
"1044","Micronesian",15," Colorado","2013"
"1054","Chamorro",360," Colorado","2013"
"1064","Marshallese",50," Colorado","2013"
"1074","Palau",110," Colorado","2013"
"1083","Trukese",115," Colorado","2013"
"1094","Samoan",365," Colorado","2013"
"1103","Tongan",215," Colorado","2013"
"1117","Hawaiian",365," Colorado","2013"
"1133","Navajo",2937," Colorado","2013"
"1154","Eskimo",40," Colorado","2013"
"1161","Inupik",10," Colorado","2013"
"1173","Yupik",80," Colorado","2013"
"1182","Cheyenne",65," Colorado","2013"
"1193","Cree",180," Colorado","2013"
"1202","Menomini",90," Colorado","2013"
"1213","Ojibwa",40," Colorado","2013"
"1222","Apache",120," Colorado","2013"
